Malzeme,Açıklama,Miktar
Adaptör (USB),,1
Adaptör (USB) (eksik),,0
Ampul (beyaz),,2
Ampul LED (eksik),,0
Ayakkabı çekeceği (eksik),,0
Banyo kesesi (eksik),,0
Bel çantası (Ankara),,1
Bornoz,,1
Crocs terlik (sokak),,1
Disk 5 TB (Ankara),,1
Dolap stoperi (eksik),,0
Don (erkek),,2
Dürbün (eksik),,0
Eldiven,,1
Eldiven (eksik),,0
Elektrikli el tornavidası (eksik),,0
Ethernet Kablo (UTP),,3
Eğe (eksik),,0
Güç korumalı priz,,1
Havlu (Ankara),,0
Havlu (banyo),,2
HDMI Kablo,,1
Iki port USB adaptör (Ankara),,1
Kapı altı stoper (eksik),,0
Kapı stoperi,,3
Kapı stoperi (Silikon),,1
Karga burun,,1
Kasket,,1
Kaşar (migros),,0
Koli bandı,,2
Kontrol kalemi (eksik),,0
Krema (migros),,0
Kulaklık (kablolu),,1
Kızartma Tenceresi (eksik),,0
Led fener yuvarlak,,1
LED lamba,,1
Lif (eksik),,0
Maket bıçağı (eksik),,0
Masa lastiği (ayak),,2
Masa örtü kıskacı,,3
Mayo,,2
Merdane (Ankara),,1
Metre,,1
Mini USB kablo,,1
Modem tel kablosu,,2
Oklava (eksik),,0
Pense (eksik),,0
Perde kancası,,20
Perde stoperi,,7
Pijama (erkek),,1
Pijama (kadın),,1
Pil (İnce),,1
Pil (İnce),,4
Pil (Kalın),,1
Post it,,1
Repeater (Ankara),,1
Repeater (eksik),,0
Sensörlü (LED) (eksik),,0
Sensörlü Lamba,,2
Sinek ilacı,,2
Sinek İlacı,,1
Sinek ilacı sprey,,1
Sinek raketi,,1
Sıvı yağ (migros),,0
T-shirt,,4
T-Shirt (Ankara),,2
Tabure,,2
Tabure (eksik),,0
Tahta kaşık (eksik),,0
Tahta çubuk,,3
Teflon tava (Ankara),,1
Tencere (Ufak) (Eksik),,0
Tornavida (Düz),,1
Tornavida (Yıldız),,1
Tornavida seti (eksik),,0
Toz bezi (eksik),,0
USB - Ethernet çevirici (Ankara),,1
USB 3.0 kablo (Ankara),,1
USB hub ethernetli (eksik),,0
USB Kablo (eksik),,0
Uzatma kablosu,,1
Uzatma kablosu - USB (eksik),,0
Wifi repater (eksik),,0
Yan keski (eksik),,0
Yoğurt kasesi (eksik),,0
Çekiç (eksik),,0
Çorap (kısa),,1
Çorap (orta),,1
Çorap (uzun),,1
Çöp tenekesi (eksik),,0
Şapka,,2
Şort (Ankara),,2
