Sirpca,Turkce
,
WC šolje,Tuvalet Klozetleri / Klozetler
Wc solja,Tuvalet kolozeti / Klozet
-ica,Küçültme eki
-ina,Sıfat yapan ek
-kako bi se,-sın diye
-nih,-ların / -lerin (genitiv) (çoğul) (aitlik eki)
-ovo,-den yapılan
A,Peki / Peki ya / Ve (bağlaç)
A kod vas,Peki ya sizde
A onda,ve sonra
A rok za,son tarih (belirtme)
A šta ako,Peki ya eğer
A tek,Üstelik / Henüz
A ti,Ya sen (soru)
Abažura,Abajur
Abecedu,Alfabe
Acacia,Akasya
Acacia drvo,Akasya ağacı
Adekvatne,Uygun / Yeterli (kadın)
Adekvatno,Yeterince / Uygun şekilde (zarf)
Adresa,Adres
Adresa sjedišta,Kayıtlı ofis adresi
Adresa uprave,Yönetim adresi
Adresa za prijem službene,Resmi alıcı adresi
Adrese,Adresleri (genitiv)
Adresu,Adres / Adresin (belirtme)
Advokat,Avukat (erkek)
Advokati,Avukatlar (erkek) (karma)
Advokatica,Avukat (kadın)
Advokatice,Avukatlar (kadın)
Ađike / Ađika,Acıka / Acuka
Aerodom,Hava alanı
Aerodomima,Havaalanları
Aerodromu,Havalanında (lokativ) / Havalanına (dativ)
Agencija,Ajans (kadın)
Agencija,Ajans
Agencija Anadolija,Anadolu Ajansı
Agencija za sprečavanje korupcije (ASK),Yolsuzluğu Önleme Ajansı
Agenciji,Ajansa (dativ)
Agenciju,Ajansı (akuzativ)
Agent,Ajan
Ajkula,Köpek balığı
Ajmo,Hadi gidelim
Akademija,Akademi (kadın)
Akcenat,Vurgu / Odak / Aksan
Akcija,Hareket / Eylem / Kampanya / İndirim / Özel etkinlik (kadın) (tekil)
Akcije,Hareketler / Eylemler / Kampanyalar
Akciji,Harekete / Eyleme / Kampanyaya (yönelme)
Akcijsku,Aksiyon dolu / Eylemsel / Kapmanyaya özel / İndirimli
Akciju,Hareketi / Eylemi / Kapmanyayı (belirtme hali)
Akcionari,Hissedarlar
Ako,Eğer
Ako bog da,Kısmetse / inşallah
Ako da,Evet ise
Ako nije problem,Eğer sorun  değilse
Akreditivna,Güven mektupları ile ilgili
Akreditivna pisma,Güven Mektupları
Akril,Akrilik
Akteri,Aktörler / Figürler
Aktivacija,Aktivasyon
Aktivan,Aktif / Hareketli / Enerjik
Aktiviraj,Etkinleştir (tekil) (samimi)
Aktivirajte,Etkinleştirin (resmi) (çoğul)
Aktivirao,Aktive etti / etkinleştirdi.(geçmiş)
Aktivirati,Aktif hale getirmek / Etkinleştirmek (fiil)
Aktivna,Aktif / Hareketli / Enerjik (kadın)
Aktivni,Aktif / İşlemde (akuzativ)
Aktivnost,Etkinlik
Aktivnosti,Etkinlikler / Aktiviteler (kadın)
Aktuelan,Güncel (erkek)
Aktuelna,Güncel (kadın)
Aktuelnije,Daha güncel
Aktuelnim,Güncel (erkek) (nötr)
Aktuelnim temama,Güncel konular
Aktuelno,Güncel (nötr)
Aktuelnost,Güncellik
Aktuelnosti,Düncel durumlar (kadın) 
Aktuelnu,Güncel (kadın)
Aku čistač za prozore,Akülü cam temizleyici
Aku štapni Usisivač,Pilli elektrikli süpürge
Akustične,Akustik (çoğul)
Akustično,Akustik (tekil) (nötr)
Akuzativ,Suçlayıcı / Belirtme hali (isim)
Alat,Alet
Albanije,Arnavutluk'un
Alergija,Alerji
Alergiju,Alerji (akuzativ)
Ali,Ama / Ancak (bağlaç)
Ali i kao,Ama aynı zamanda
Ali kako,Ama nasıl
Aluminjum,Alüminyum
Amandman,Önerge
Amandmanima,Değişiklik önergeleriyle
Ambasador,Büyükelçi
Ambasadorki,Büyükelçi (kadın)
Ambasadorom,Büyükelçi ile / Büyükelçi olarak
Ambicioznost,Azim  / Hırslılık / Tutkulu olma (kadın)
Ambijentu,Ortam
Američka,Amerikan / Amerika ile ilgili (kadın)
Američki,Amerikan / Amerika ile ilgili (erkek)
Američko,Amerikan / Amerika ile ilgili (nötr)
Amerika,Amerika
Amerikanac,Amerikalı (erkek)
Amerikanc,Amerikalılar
Amerikanke,Amerikalılar (kadın)
Amerike,Amerika'dan (genitiv)
Amidža,Amca
An forme,Halsiz / Formsuz
Anadolija,Anadolu (kadın)
Anadolije,Anadolu'nun (genitiv)
Analitički,Analitik olarak
Analitičnost,Analitik düşünme yeteneği (kadın)
Analitiku,Analitik
Analiza,Analiz
